Issue Type,Summary,Description,Story Points,Priority,Labels,Sprint,Parent,Assignee,Time Estimate
Epic,Backend Infrastructure & Data Management,Set up production-ready backend infrastructure including Firebase database and storage solutions,,,backend;infrastructure;firebase,,,
Story,Firebase Production Configuration,"As a dealership admin I need my inventory data to persist in the cloud So that vehicles are available across all devices and browsers

Acceptance Criteria:
- Firebase project created in production mode
- Firestore database configured with proper collections
- Security rules implemented and tested
- Environment variables configured for production
- Admin dashboard successfully connects to Firebase
- Data persists after browser refresh/logout",8,Highest,firebase;database;backend,Sprint 1,Backend Infrastructure & Data Management,,
Task,Create Firebase project in console,Set up new Firebase project for PH Aqui production,,,firebase,Sprint 1,Firebase Production Configuration,,1h
Task,Configure Firestore database structure,Create vehicles collection with proper schema and indexes,,,database,Sprint 1,Firebase Production Configuration,,2h
Task,Implement Firestore security rules,Write and deploy security rules for read/write permissions,,,firebase;security,Sprint 1,Firebase Production Configuration,,2h
Task,Create production environment variables,Set up .env.production with Firebase config,,,configuration,Sprint 1,Firebase Production Configuration,,1h
Task,Test Firebase connection in admin dashboard,Verify CRUD operations work with real Firebase backend,,,testing,Sprint 1,Firebase Production Configuration,,2h
Task,Document Firebase setup process,Update documentation with setup instructions,,,documentation,Sprint 1,Firebase Production Configuration,,1h
Story,Firebase Storage Setup for Vehicle Images,"As a dealership admin I need to upload and store vehicle images in the cloud So that images are accessible and properly managed

Acceptance Criteria:
- Firebase Storage bucket created
- Storage security rules implemented
- Image upload functionality works in admin panel
- Images are optimized before upload
- Thumbnails generated automatically
- Old images are cleaned up when vehicles are deleted",5,Highest,firebase;storage;images,Sprint 1,Backend Infrastructure & Data Management,,
Task,Create Firebase Storage bucket,Set up storage bucket with proper configuration,,,firebase;storage,Sprint 1,Firebase Storage Setup for Vehicle Images,,1h
Task,Implement storage security rules,Configure upload/download permissions,,,firebase;security,Sprint 1,Firebase Storage Setup for Vehicle Images,,2h
Task,Test image upload with MultiImageUpload component,Verify thumbnail and gallery image uploads work,,,testing,Sprint 1,Firebase Storage Setup for Vehicle Images,,2h
Task,Implement image cleanup on vehicle deletion,Delete associated images when vehicle is removed,,,backend,Sprint 1,Firebase Storage Setup for Vehicle Images,,2h
